nohup: ignoring input
==============================================================================
EXPANDED VANET PARALLEL BATCH
==============================================================================
Workers                 : 2
Existing locked runs    : 2700
New completed instances : 2150 / 2340
Instances this launch   : 190
Same-seed retries       : 3
==============================================================================
[DEFERRED] INST_3051 | AODV: NS-2 failed: 
[PASS] INST_3052 | 150 nodes | 50 km/h | 5 flows | 5 pps | seed 2 | 2151/2340
[PASS] INST_3054 | 150 nodes | 50 km/h | 5 flows | 5 pps | seed 4 | 2152/2340
[PASS] INST_3053 | 150 nodes | 50 km/h | 5 flows | 5 pps | seed 3 | 2153/2340
[PASS] INST_3055 | 150 nodes | 50 km/h | 5 flows | 5 pps | seed 5 | 2154/2340
[PASS] INST_3056 | 150 nodes | 50 km/h | 5 flows | 6 pps | seed 1 | 2155/2340
[PASS] INST_3057 | 150 nodes | 50 km/h | 5 flows | 6 pps | seed 2 | 2156/2340
[PASS] INST_3058 | 150 nodes | 50 km/h | 5 flows | 6 pps | seed 3 | 2157/2340
[PASS] INST_3059 | 150 nodes | 50 km/h | 5 flows | 6 pps | seed 4 | 2158/2340
[PASS] INST_3060 | 150 nodes | 50 km/h | 5 flows | 6 pps | seed 5 | 2159/2340
[PASS] INST_3061 | 150 nodes | 50 km/h | 7 flows | 2 pps | seed 1 | 2160/2340
[PASS] INST_3062 | 150 nodes | 50 km/h | 7 flows | 2 pps | seed 2 | 2161/2340
[PASS] INST_3063 | 150 nodes | 50 km/h | 7 flows | 2 pps | seed 3 | 2162/2340
[PASS] INST_3064 | 150 nodes | 50 km/h | 7 flows | 2 pps | seed 4 | 2163/2340
[PASS] INST_3065 | 150 nodes | 50 km/h | 7 flows | 2 pps | seed 5 | 2164/2340
[PASS] INST_3066 | 150 nodes | 50 km/h | 7 flows | 3 pps | seed 1 | 2165/2340
[PASS] INST_3067 | 150 nodes | 50 km/h | 7 flows | 3 pps | seed 2 | 2166/2340
[PASS] INST_3068 | 150 nodes | 50 km/h | 7 flows | 3 pps | seed 3 | 2167/2340
[PASS] INST_3069 | 150 nodes | 50 km/h | 7 flows | 3 pps | seed 4 | 2168/2340
[PASS] INST_3070 | 150 nodes | 50 km/h | 7 flows | 3 pps | seed 5 | 2169/2340
[PASS] INST_3071 | 150 nodes | 50 km/h | 7 flows | 4 pps | seed 1 | 2170/2340
[PASS] INST_3072 | 150 nodes | 50 km/h | 7 flows | 4 pps | seed 2 | 2171/2340
[PASS] INST_3073 | 150 nodes | 50 km/h | 7 flows | 4 pps | seed 3 | 2172/2340
[PASS] INST_3074 | 150 nodes | 50 km/h | 7 flows | 4 pps | seed 4 | 2173/2340
[PASS] INST_3075 | 150 nodes | 50 km/h | 7 flows | 4 pps | seed 5 | 2174/2340
