Nodes,Speed_kmh,Flows,Packet_Rate_pps,Best_Protocol,Best_Score,Second_Best_Protocol,Second_Best_Score,Score_Margin
50,20,5,2,AODV,0.6574601045754415,AOMDV,0.644383960230649,0.013076144344792429
50,20,5,4,DSDV,0.75,AOMDV,0.5535876466471699,0.19641235335283014
50,20,5,8,DSDV,0.75,AOMDV,0.6241122244124856,0.1258877755875144
50,20,10,2,AOMDV,0.6406203726171131,AODV,0.6159984797853786,0.02462189283173455
50,20,10,4,AOMDV,0.6423029199255121,AODV,0.5336285175658055,0.1086744023597066
50,20,10,8,DSDV,0.75,AOMDV,0.33127925535370006,0.41872074464629994
50,20,15,2,AOMDV,0.635624938455198,AODV,0.5606464347873125,0.0749785036678855
50,20,15,4,DSDV,0.75,AOMDV,0.5096481325915936,0.24035186740840642
50,20,15,8,DSDV,0.75,AOMDV,0.4663842543489533,0.2836157456510467
50,20,20,2,DSDV,0.668429671920725,AOMDV,0.6370534245328967,0.03137624738782829
50,20,20,4,DSDV,0.75,AOMDV,0.38767605814190775,0.36232394185809225
50,20,20,8,DSDV,1.0,AODV,0.20051697167366977,0.7994830283263302
50,20,25,2,DSDV,0.6997896190793338,AOMDV,0.6324620977152033,0.06732752136413045
50,20,25,4,DSDV,0.75,AOMDV,0.5031495319732012,0.24685046802679877
50,20,25,8,DSDV,1.0,AODV,0.234125521420157,0.765874478579843
50,30,5,2,AOMDV,0.6178421788532418,DSDV,0.6116141255798182,0.006228053273423573
50,30,5,4,AODV,0.6678889063952106,AOMDV,0.620048055317064,0.04784085107814662
50,30,5,8,AOMDV,0.6096414197444827,DSDV,0.5,0.10964141974448272
50,30,10,2,AOMDV,0.6219505148346502,AODV,0.6181484907630446,0.003802024071605681
50,30,10,4,AOMDV,0.6269965189876597,DSDV,0.6142720235707484,0.012724495416911341
50,30,10,8,DSDV,0.75,AOMDV,0.44296409290803185,0.30703590709196815
50,30,15,2,AOMDV,0.6258369890871872,AODV,0.4872359497540534,0.13860103933313384
50,30,15,4,DSDV,0.75,AOMDV,0.6395166197974904,0.11048338020250958
50,30,15,8,DSDV,0.75,AOMDV,0.3327231730964506,0.4172768269035494
50,30,20,2,AOMDV,0.6364357662935121,DSDV,0.4611873914314385,0.17524837486207356
50,30,20,4,DSDV,0.75,AOMDV,0.542275454180912,0.20772454581908795
50,30,20,8,DSDV,0.75,AODV,0.32054232221586265,0.42945767778413735
50,30,25,2,DSDV,0.6886587931044971,AOMDV,0.6684335705389552,0.020225222565541823
50,30,25,4,DSDV,0.75,AOMDV,0.4351536308387882,0.3148463691612118
50,30,25,8,DSDV,1.0,AODV,0.3833617310141839,0.6166382689858161
50,40,5,2,AODV,0.7352897432245905,DSDV,0.619683499357322,0.11560624386726848
50,40,5,4,AOMDV,0.6035449984875102,AODV,0.48977493523310156,0.11377006325440864
50,40,5,8,DSDV,0.75,AOMDV,0.48740473983425964,0.26259526016574036
50,40,10,2,AOMDV,0.6136478168937045,AODV,0.5911018866815518,0.022545930212152676
50,40,10,4,AOMDV,0.6201288464632007,AODV,0.5121320154715959,0.10799683099160473
50,40,10,8,DSDV,0.75,AOMDV,0.44784443963820936,0.30215556036179064
50,40,15,2,AOMDV,0.6101805158351455,AODV,0.5030855147697937,0.10709500106535186
50,40,15,4,DSDV,0.7210290987042423,AOMDV,0.664784800052043,0.056244298652199265
50,40,15,8,DSDV,0.75,AOMDV,0.4637543524695926,0.2862456475304074
50,40,20,2,AOMDV,0.6138332016502133,AODV,0.46355219240817525,0.15028100924203802
50,40,20,4,DSDV,0.75,AOMDV,0.7125375047853765,0.037462495214623526
50,40,20,8,DSDV,1.0,AOMDV,0.19487371645444118,0.8051262835455588
50,40,25,2,AOMDV,0.6516605130844902,DSDV,0.5560299300092796,0.09563058307521066
50,40,25,4,DSDV,0.75,AOMDV,0.4155349131460188,0.3344650868539812
50,40,25,8,DSDV,1.0,AODV,0.32535686715193185,0.6746431328480682
50,50,5,2,DSDV,0.75,AODV,0.6774375020710963,0.07256249792890368
50,50,5,4,AODV,0.7029868156869733,AOMDV,0.598961631690321,0.10402518399665228
50,50,5,8,AODV,0.6939943111689325,DSDV,0.5190917174550806,0.17490259371385186
50,50,10,2,AODV,0.6208651626952051,AOMDV,0.6120761215338558,0.008789041161349265
50,50,10,4,AOMDV,0.6108443446926175,DSDV,0.5367446682902703,0.07409967640234716
50,50,10,8,DSDV,0.75,AOMDV,0.43247167721253515,0.31752832278746485
50,50,15,2,AOMDV,0.6107704411206539,AODV,0.5391105426617898,0.07165989845886411
50,50,15,4,AOMDV,0.6533630383832281,DSDV,0.6337548264327719,0.019608211950456145
50,50,15,8,DSDV,0.75,AOMDV,0.4971415554670815,0.2528584445329185
50,50,20,2,AOMDV,0.614594498392283,DSDV,0.43785666524548617,0.1767378331467968
50,50,20,4,DSDV,0.75,AOMDV,0.7207608449249773,0.029239155075022727
50,50,20,8,DSDV,1.0,AODV,0.2369193690665264,0.7630806309334737
50,50,25,2,AOMDV,0.665174646878664,DSDV,0.5382015440279926,0.12697310285067143
50,50,25,4,DSDV,0.75,AOMDV,0.5783628274662321,0.17163717253376787
50,50,25,8,DSDV,1.0,AODV,0.39886651938978346,0.6011334806102165
100,20,5,2,AODV,0.666839176795191,AOMDV,0.6257396499334758,0.04109952686171525
100,20,5,4,AOMDV,0.6388941484041482,AODV,0.6164889733979239,0.022405175006224298
100,20,5,8,AODV,0.6748279466092864,AOMDV,0.6397719547988739,0.03505599181041241
100,20,10,2,AOMDV,0.6248228860228697,DSDV,0.6044290580233873,0.020393827999482417
100,20,10,4,DSDV,0.7078099404157808,AOMDV,0.6349803619268943,0.07282957848888649
100,20,10,8,DSDV,0.7398122765755663,AOMDV,0.6516705330612749,0.08814174351429138
100,20,15,2,AOMDV,0.6108586835167146,AODV,0.4888007028651488,0.12205798065156576
100,20,15,4,AOMDV,0.7590297213055608,DSDV,0.7485495814275469,0.010480139878013883
100,20,15,8,DSDV,0.9525812292483438,AOMDV,0.5005103129005615,0.4520709163477823
100,20,20,2,DSDV,0.6722299917433296,AOMDV,0.6059291903110569,0.0663008014322728
100,20,20,4,DSDV,0.75,AOMDV,0.6270471436869223,0.12295285631307773
100,20,20,8,DSDV,1.0,AODV,0.440595071768541,0.559404928231459
100,20,25,2,DSDV,0.7499126960092817,AOMDV,0.6746264394724434,0.07528625653683829
100,20,25,4,DSDV,1.0,AOMDV,0.32968507752521015,0.6703149224747899
100,20,25,8,DSDV,1.0,AODV,0.33889781639183514,0.6611021836081649
100,30,5,2,AODV,0.6692035270601069,AOMDV,0.6085131918308878,0.06069033522921907
100,30,5,4,AODV,0.6447566887803435,AOMDV,0.6041923568640806,0.04056433191626296
100,30,5,8,AOMDV,0.6095191728982734,AODV,0.6025481516022844,0.006971021295989033
100,30,10,2,AOMDV,0.6137762337998722,AODV,0.6000172933227552,0.01375894047711701
