Instance_ID,Nodes,Speed_kmh,Flows,Packet_Rate_pps,Mobility_Seed,Simulation_Seed,Best_Protocol,Best_Score,Second_Best_Protocol,Second_Best_Score,Score_Margin
INST_0001,50,20,5,2,1,100001,AODV,0.6742598027235449,AOMDV,0.6240808832653006,0.050178919458244264
INST_0002,50,20,5,2,2,100002,DSDV,0.75,AOMDV,0.5054336575574853,0.24456634244251474
INST_0003,50,20,5,2,3,100003,DSDV,0.75,AOMDV,0.5587841880082418,0.1912158119917582
INST_0004,50,20,5,2,4,100004,DSDV,0.710848718635125,AOMDV,0.5350921814060041,0.17575653722912088
INST_0005,50,20,5,2,5,100005,AODV,0.7629364138447196,AOMDV,0.6259177670421834,0.13701864680253617
INST_0006,50,20,5,4,1,100006,DSDV,0.75,AOMDV,0.5246889786060581,0.22531102139394188
INST_0007,50,20,5,4,2,100007,DSDV,0.75,AOMDV,0.5508184324447605,0.19918156755523952
INST_0008,50,20,5,4,3,100008,DSDV,0.75,AOMDV,0.5685265234972119,0.1814734765027881
INST_0009,50,20,5,4,4,100009,DSDV,0.7134025795192609,AOMDV,0.5652186223111306,0.14818395720813027
INST_0010,50,20,5,4,5,100010,DSDV,0.75,AOMDV,0.564962774366666,0.18503722563333402
INST_0011,50,20,5,8,1,100011,DSDV,0.75,AOMDV,0.6201882485439275,0.1298117514560725
INST_0012,50,20,5,8,2,100012,AOMDV,0.6511404224387856,AODV,0.6184872446719156,0.032653177766869934
INST_0013,50,20,5,8,3,100013,DSDV,0.75,AOMDV,0.566985756634342,0.18301424336565797
INST_0014,50,20,5,8,4,100014,DSDV,0.7153381302622102,AODV,0.5511124814376682,0.16422564882454194
INST_0015,50,20,5,8,5,100015,DSDV,0.75,AOMDV,0.4672701697036779,0.2827298302963221
INST_0016,50,20,10,2,1,100016,DSDV,0.7197095880404705,AOMDV,0.6464171849643516,0.07329240307611884
INST_0017,50,20,10,2,2,100017,AODV,0.6959347988219603,AOMDV,0.6442424217134985,0.05169237710846175
INST_0018,50,20,10,2,3,100018,DSDV,0.6675874126151026,AOMDV,0.6179012416666666,0.04968617094843597
INST_0019,50,20,10,2,4,100019,AODV,0.8708241411009467,AOMDV,0.6468579117564719,0.22396622934447485
INST_0020,50,20,10,2,5,100020,AOMDV,0.6468663971203868,AODV,0.645632811903856,0.0012335852165308303
INST_0021,50,20,10,4,1,100021,AOMDV,0.638170596731464,AODV,0.510229813704263,0.12794078302720102
INST_0022,50,20,10,4,2,100022,DSDV,0.75,AOMDV,0.4573762095928804,0.2926237904071196
INST_0023,50,20,10,4,3,100023,AOMDV,0.6332431756840313,AODV,0.5815088308916634,0.05173434479236794
INST_0024,50,20,10,4,4,100024,AODV,0.7066469472973402,AOMDV,0.6234707098493293,0.08317623744801095
INST_0025,50,20,10,4,5,100025,AOMDV,0.6486119017235861,DSDV,0.48760599082293277,0.1610059109006533
INST_0026,50,20,10,8,1,100026,DSDV,0.75,AOMDV,0.35315675273067804,0.39684324726932196
INST_0027,50,20,10,8,2,100027,DSDV,0.75,AOMDV,0.5417168017533434,0.20828319824665664
INST_0028,50,20,10,8,3,100028,DSDV,0.75,AODV,0.43058421143735814,0.31941578856264186
INST_0029,50,20,10,8,4,100029,DSDV,0.75,AODV,0.7176385127530398,0.0323614872469602
INST_0030,50,20,10,8,5,100030,DSDV,0.75,AOMDV,0.4565568097749706,0.2934431902250294
INST_0031,50,20,15,2,1,100031,AOMDV,0.6075297948150609,DSDV,0.494181139048698,0.11334865576636288
INST_0032,50,20,15,2,2,100032,AODV,0.6491044092424714,AOMDV,0.6306507659871787,0.01845364325529264
INST_0033,50,20,15,2,3,100033,AODV,0.7033941088888673,AOMDV,0.6596045192569185,0.04378958963194879
INST_0034,50,20,15,2,4,100034,AODV,0.635717866612299,AOMDV,0.6065737180362218,0.029144148576077167
INST_0035,50,20,15,2,5,100035,AOMDV,0.6501677811018508,AODV,0.6004428828352176,0.04972489826663318
INST_0036,50,20,15,4,1,100036,DSDV,0.7326176644461555,AOMDV,0.6115115758184866,0.12110608862766892
INST_0037,50,20,15,4,2,100037,DSDV,0.7146105621146952,AOMDV,0.6382043262512032,0.07640623586349204
INST_0038,50,20,15,4,3,100038,DSDV,0.75,AOMDV,0.5104184415431526,0.23958155845684737
INST_0039,50,20,15,4,4,100039,AODV,0.6578966161554811,AOMDV,0.6173069715046174,0.04058964465086368
INST_0040,50,20,15,4,5,100040,DSDV,0.75,AOMDV,0.45357315761095046,0.29642684238904954
INST_0041,50,20,15,8,1,100041,DSDV,0.75,AOMDV,0.43124316241300276,0.31875683758699724
INST_0042,50,20,15,8,2,100042,DSDV,1.0,AOMDV,0.377770574506667,0.6222294254933329
INST_0043,50,20,15,8,3,100043,DSDV,0.7978592401785508,AODV,0.36599425594792057,0.43186498423063024
INST_0044,50,20,15,8,4,100044,DSDV,0.8222015168517449,AOMDV,0.675361089169982,0.14684042768176286
INST_0045,50,20,15,8,5,100045,DSDV,0.9754990884680874,AOMDV,0.5143820933752706,0.4611169950928168
INST_0046,50,20,20,2,1,100046,DSDV,0.75,AOMDV,0.5868108197621871,0.16318918023781293
INST_0047,50,20,20,2,2,100047,AOMDV,0.6295105790278244,AODV,0.5189063956145475,0.11060418341327682
INST_0048,50,20,20,2,3,100048,AOMDV,0.644490456039625,DSDV,0.44671317826355755,0.1977772777760674
INST_0049,50,20,20,2,4,100049,DSDV,0.6626626428942338,AOMDV,0.6185929678649529,0.04406967502928094
INST_0050,50,20,20,2,5,100050,AOMDV,0.6586424634433427,DSDV,0.589155905393479,0.0694865580498637
INST_0051,50,20,20,4,1,100051,DSDV,0.75,AOMDV,0.5735384172371192,0.17646158276288082
INST_0052,50,20,20,4,2,100052,DSDV,0.75,AOMDV,0.3898108203228331,0.3601891796771669
INST_0053,50,20,20,4,3,100053,DSDV,0.75,AOMDV,0.4114648102722875,0.3385351897277125
INST_0054,50,20,20,4,4,100054,DSDV,0.75,AOMDV,0.3607942619669046,0.3892057380330954
INST_0055,50,20,20,4,5,100055,DSDV,0.75,AODV,0.351625638339792,0.398374361660208
INST_0056,50,20,20,8,1,100056,DSDV,0.9934896258137971,AOMDV,0.4121987971617904,0.5812908286520067
INST_0057,50,20,20,8,2,100057,DSDV,1.0,AODV,0.27967624976440775,0.7203237502355923
INST_0058,50,20,20,8,3,100058,DSDV,0.7956779305605906,AODV,0.6398214918223277,0.15585643873826283
INST_0059,50,20,20,8,4,100059,DSDV,1.0,AODV,0.10331290862837907,0.896687091371621
INST_0060,50,20,20,8,5,100060,DSDV,1.0,AOMDV,0.2512037795160728,0.7487962204839271
INST_0061,50,20,25,2,1,100061,DSDV,0.75,AOMDV,0.5716588924273764,0.17834110757262356
INST_0062,50,20,25,2,2,100062,AOMDV,0.6443232226456506,DSDV,0.47825854794681166,0.1660646746988389
INST_0063,50,20,25,2,3,100063,AOMDV,0.6604618640400565,DSDV,0.4281627495811563,0.23229911445890017
INST_0064,50,20,25,2,4,100064,AOMDV,0.6423933285855412,AODV,0.5066666946230303,0.13572663396251095
INST_0065,50,20,25,2,5,100065,DSDV,0.75,AOMDV,0.5790289592707663,0.17097104072923375
INST_0066,50,20,25,4,1,100066,DSDV,0.75,AOMDV,0.5688146593848266,0.18118534061517344
INST_0067,50,20,25,4,2,100067,DSDV,0.75,AOMDV,0.4010238085009557,0.3489761914990443
INST_0068,50,20,25,4,3,100068,DSDV,0.75,AOMDV,0.569961614857284,0.18003838514271597
INST_0069,50,20,25,4,4,100069,DSDV,0.8681693755598868,AOMDV,0.6784065358341593,0.1897628397257275
INST_0070,50,20,25,4,5,100070,DSDV,0.75,AOMDV,0.4048078457988933,0.3451921542011067
INST_0071,50,20,25,8,1,100071,DSDV,1.0,AODV,0.1597921695851539,0.8402078304148461
INST_0072,50,20,25,8,2,100072,DSDV,1.0,AODV,0.3926440028707072,0.6073559971292928
