Nodes,Speed_kmh,Flows,Packet_Rate_pps,Mobility_Seed,Offered_Load_kbps,Flows_per_Node,Rate_x_Flows,Nodes_x_Speed,Speed_per_Flow,Best_Protocol_Composite,Best_Protocol_PDR
50,20,5,2,1,40.96,0.1,10,1000,4,AODV,AODV
50,20,5,2,2,40.96,0.1,10,1000,4,AOMDV,AODV
50,20,5,2,3,40.96,0.1,10,1000,4,AOMDV,AODV
50,20,5,2,4,40.96,0.1,10,1000,4,AOMDV,AODV
50,20,5,2,5,40.96,0.1,10,1000,4,AODV,AODV
50,20,5,4,1,81.92,0.1,20,1000,4,AOMDV,AODV
50,20,5,4,2,81.92,0.1,20,1000,4,AOMDV,AODV
50,20,5,4,3,81.92,0.1,20,1000,4,AOMDV,AODV
50,20,5,4,4,81.92,0.1,20,1000,4,AOMDV,AODV
50,20,5,4,5,81.92,0.1,20,1000,4,AOMDV,AODV
50,20,5,8,1,163.84,0.1,40,1000,4,AOMDV,AODV
50,20,5,8,2,163.84,0.1,40,1000,4,AOMDV,AODV
50,20,5,8,3,163.84,0.1,40,1000,4,AOMDV,AODV
50,20,5,8,4,163.84,0.1,40,1000,4,AODV,AODV
50,20,5,8,5,163.84,0.1,40,1000,4,AOMDV,AODV
50,20,10,2,1,81.92,0.2,20,1000,2,AOMDV,AODV
50,20,10,2,2,81.92,0.2,20,1000,2,AODV,AODV
50,20,10,2,3,81.92,0.2,20,1000,2,AOMDV,AODV
50,20,10,2,4,81.92,0.2,20,1000,2,AODV,AODV
50,20,10,2,5,81.92,0.2,20,1000,2,AOMDV,AODV
50,20,10,4,1,163.84,0.2,40,1000,2,AOMDV,AODV
50,20,10,4,2,163.84,0.2,40,1000,2,AOMDV,AODV
50,20,10,4,3,163.84,0.2,40,1000,2,AOMDV,AODV
50,20,10,4,4,163.84,0.2,40,1000,2,AODV,AODV
50,20,10,4,5,163.84,0.2,40,1000,2,AOMDV,AODV
50,20,10,8,1,327.68,0.2,80,1000,2,DSDV,AODV
50,20,10,8,2,327.68,0.2,80,1000,2,AOMDV,AODV
50,20,10,8,3,327.68,0.2,80,1000,2,AODV,AODV
50,20,10,8,4,327.68,0.2,80,1000,2,AODV,AODV
50,20,10,8,5,327.68,0.2,80,1000,2,DSDV,AODV
50,20,15,2,1,122.88,0.3,30,1000,1.3333333333333333,AOMDV,AODV
50,20,15,2,2,122.88,0.3,30,1000,1.3333333333333333,AODV,AODV
50,20,15,2,3,122.88,0.3,30,1000,1.3333333333333333,AODV,AODV
50,20,15,2,4,122.88,0.3,30,1000,1.3333333333333333,AODV,AODV
50,20,15,2,5,122.88,0.3,30,1000,1.3333333333333333,AOMDV,AODV
50,20,15,4,1,245.76,0.3,60,1000,1.3333333333333333,AOMDV,AODV
50,20,15,4,2,245.76,0.3,60,1000,1.3333333333333333,AOMDV,AODV
50,20,15,4,3,245.76,0.3,60,1000,1.3333333333333333,AOMDV,AODV
50,20,15,4,4,245.76,0.3,60,1000,1.3333333333333333,AODV,AODV
50,20,15,4,5,245.76,0.3,60,1000,1.3333333333333333,DSDV,AODV
50,20,15,8,1,491.52,0.3,120,1000,1.3333333333333333,AOMDV,AOMDV
50,20,15,8,2,491.52,0.3,120,1000,1.3333333333333333,DSDV,DSDV
50,20,15,8,3,491.52,0.3,120,1000,1.3333333333333333,DSDV,AODV
50,20,15,8,4,491.52,0.3,120,1000,1.3333333333333333,AOMDV,AOMDV
50,20,15,8,5,491.52,0.3,120,1000,1.3333333333333333,DSDV,AOMDV
50,20,20,2,1,163.84,0.4,40,1000,1,AOMDV,AODV
50,20,20,2,2,163.84,0.4,40,1000,1,AOMDV,AODV
50,20,20,2,3,163.84,0.4,40,1000,1,AOMDV,AODV
50,20,20,2,4,163.84,0.4,40,1000,1,AOMDV,AODV
50,20,20,2,5,163.84,0.4,40,1000,1,AOMDV,AODV
50,20,20,4,1,327.68,0.4,80,1000,1,AOMDV,AOMDV
50,20,20,4,2,327.68,0.4,80,1000,1,DSDV,AODV
50,20,20,4,3,327.68,0.4,80,1000,1,DSDV,AODV
50,20,20,4,4,327.68,0.4,80,1000,1,DSDV,AODV
50,20,20,4,5,327.68,0.4,80,1000,1,AODV,AODV
50,20,20,8,1,655.36,0.4,160,1000,1,DSDV,AOMDV
50,20,20,8,2,655.36,0.4,160,1000,1,DSDV,DSDV
